,saversion,saverest,areasymbol,areaname,lkey,musym,muname,museq,mukey,comppct_r,compname,localphase,slope_r,cokey,hzdept_r,hzdepb_r,ksat_r,sandtotal_r,claytotal_r,silttotal_r,dbthirdbar_r,partdensity,wsatiated_r,chkey
29,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,40,Edneyville,windswept,23.0,20066661,13.0,109.0,28.0,70.1,13.5,16.4,1.5,,36.0,58863535
30,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,40,Edneyville,windswept,23.0,20066661,109.0,203.0,28.0,67.9,12.5,19.6,1.5,,36.0,58863536
31,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Ashe,windswept,23.0,20066662,18.0,66.0,28.0,64.4,17.0,18.6,1.55,,30.0,58863537
32,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Ashe,windswept,23.0,20066662,66.0,79.0,28.0,66.9,10.0,23.1,1.55,,30.0,58863538
33,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Ashe,windswept,23.0,20066662,0.0,18.0,28.0,67.0,13.5,19.5,1.48,,31.0,58863539
34,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnD,"Chestnut-Edneyville complex, windswept, 15 to 30 percent slopes, stony",22,545811,5,Ashe,windswept,23.0,20066662,79.0,203.0,0.035,,,,,,,58863540
35,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,50,Chestnut,windswept,40.0,20066663,91.0,203.0,7.0,,,,,,,58863541
36,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,50,Chestnut,windswept,40.0,20066663,0.0,15.0,28.0,70.9,12.5,16.6,1.48,,29.0,58863542
37,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,50,Chestnut,windswept,40.0,20066663,15.0,91.0,28.0,68.8,15.0,16.2,1.48,,31.0,58863543
38,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Cleveland,windswept,40.0,20066664,0.0,13.0,28.0,67.4,13.0,19.6,1.35,,37.0,58863544
39,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Cleveland,windswept,40.0,20066664,13.0,43.0,28.0,45.4,13.0,41.6,1.35,,38.0,58863545
40,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Cleveland,windswept,40.0,20066664,43.0,203.0,0.035,,,,,,,58863546
41,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,0,Rock outcrop,,,20066665,0.0,203.0,0.035,,,,,,,58863547
42,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,40,Edneyville,windswept,40.0,20066666,0.0,13.0,28.0,67.5,11.5,21.0,1.5,,34.0,58863548
43,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,40,Edneyville,windswept,40.0,20066666,13.0,109.0,28.0,70.1,13.5,16.4,1.5,,36.0,58863549
44,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,40,Edneyville,windswept,40.0,20066666,109.0,203.0,28.0,67.9,12.5,19.6,1.5,,36.0,58863550
45,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Ashe,windswept,63.0,20066667,18.0,66.0,28.0,64.4,17.0,18.6,1.55,,30.0,58863551
46,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Ashe,windswept,63.0,20066667,66.0,79.0,28.0,66.9,10.0,23.1,1.55,,30.0,58863552
47,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Ashe,windswept,63.0,20066667,0.0,18.0,28.0,67.0,13.5,19.5,1.48,,31.0,58863553
48,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CnE,"Chestnut-Edneyville complex, windswept, 30 to 50 percent slopes, stony",23,545812,5,Ashe,windswept,63.0,20066667,79.0,203.0,0.035,,,,,,,58863554
49,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,15,Rock outcrop,,,20066668,0.0,203.0,0.035,,,,,,,58863555
50,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,40,Cleveland,windswept,23.0,20066669,0.0,13.0,28.0,67.4,13.0,19.6,1.35,,38.0,58863556
51,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,40,Cleveland,windswept,23.0,20066669,13.0,43.0,28.0,45.4,13.0,41.6,1.35,,40.0,58863557
52,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,40,Cleveland,windswept,23.0,20066669,43.0,203.0,0.03,,,,,,,58863558
53,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,35,Chestnut,windswept,23.0,20066670,0.0,13.0,28.0,70.9,12.5,16.6,1.48,,29.0,58863559
54,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,35,Chestnut,windswept,23.0,20066670,13.0,91.0,28.0,68.8,15.0,16.2,1.48,,30.0,58863560
55,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpD,"Cleveland-Chestnut-Rock outcrop complex, windswept, 15 to 30 percent slopes",24,545813,35,Chestnut,windswept,23.0,20066670,91.0,203.0,7.0,,,,,,,58863561
56,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,15,Rock outcrop,,,20066671,0.0,203.0,0.035,,,,,,,58863562
57,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,35,Chestnut,windswept,40.0,20066672,91.0,203.0,7.0,,,,,,,58863563
58,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,35,Chestnut,windswept,40.0,20066672,0.0,13.0,28.0,70.9,12.5,16.6,1.48,,29.0,58863564
59,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,35,Chestnut,windswept,40.0,20066672,13.0,91.0,28.0,68.8,15.0,16.2,1.48,,31.0,58863565
60,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,1,Rubble land,,40.0,20066673,,,,,,,,,,-1
61,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,4,Ashe,windswept,40.0,20066674,18.0,66.0,28.0,64.4,17.0,18.6,1.55,,30.0,58863566
62,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,4,Ashe,windswept,40.0,20066674,66.0,79.0,28.0,66.9,10.0,23.1,1.55,,30.0,58863567
63,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,4,Ashe,windswept,40.0,20066674,0.0,18.0,28.0,67.0,13.5,19.5,1.48,,31.0,58863568
64,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,4,Ashe,windswept,40.0,20066674,79.0,203.0,0.035,,,,,,,58863569
65,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,45,Cleveland,windswept,40.0,20066675,0.0,13.0,28.0,67.4,13.0,19.6,1.35,,37.0,58863570
66,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,45,Cleveland,windswept,40.0,20066675,13.0,43.0,28.0,45.4,13.0,41.6,1.35,,38.0,58863571
67,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpE,"Cleveland-Chestnut-Rock outcrop complex, windswept, 30 to 50 percent slopes",25,545814,45,Cleveland,windswept,40.0,20066675,43.0,203.0,0.035,,,,,,,58863572
68,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Cullasaja,very stony,40.0,20066676,46.0,86.0,28.0,68.0,16.0,16.0,1.3,,28.0,58863573
69,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Cullasaja,very stony,40.0,20066676,86.0,203.0,28.0,76.0,12.0,12.0,1.3,,26.0,58863574
70,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Cullasaja,very stony,40.0,20066676,0.0,46.0,28.0,68.8,15.0,16.2,0.85,,26.0,58863575
71,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Ashe,windswept,63.0,20066677,18.0,66.0,28.0,64.4,17.0,18.6,1.55,,30.0,58863576
72,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Ashe,windswept,63.0,20066677,66.0,79.0,28.0,66.9,10.0,23.1,1.55,,30.0,58863577
73,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Ashe,windswept,63.0,20066677,0.0,18.0,28.0,67.0,13.5,19.5,1.48,,31.0,58863578
74,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Ashe,windswept,63.0,20066677,79.0,203.0,0.035,,,,,,,58863579
75,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,15,Rock outcrop,,,20066678,0.0,203.0,0.035,,,,,,,58863580
76,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,45,Cleveland,windswept,63.0,20066679,0.0,10.0,28.0,70.5,13.0,16.5,1.35,,32.0,58863581
77,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,45,Cleveland,windswept,63.0,20066679,10.0,38.0,28.0,70.5,13.0,16.5,1.35,,33.0,58863582
78,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,45,Cleveland,windswept,63.0,20066679,38.0,203.0,0.035,,,,,,,58863583
79,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,25,Chestnut,windswept,63.0,20066680,0.0,41.0,28.0,70.9,12.5,16.6,1.48,,31.0,58863584
80,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,25,Chestnut,windswept,63.0,20066680,41.0,81.0,28.0,68.8,15.0,16.2,1.48,,30.0,58863585
81,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,25,Chestnut,windswept,63.0,20066680,81.0,203.0,7.0,,,,,,,58863586
82,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CpF,"Cleveland-Chestnut-Rock outcrop complex, windswept, 50 to 95 percent slopes",26,545815,5,Rubble land,,63.0,20066681,,,,,,,,,,-1
83,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CsE,"Cullasaja very cobbly fine sandy loam, 30 to 50 percent slopes, extremely bouldery",28,545817,85,Cullasaja,extremely bouldery,40.0,20066683,0.0,46.0,28.0,68.8,15.0,16.2,0.85,,25.0,58863590
84,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CsE,"Cullasaja very cobbly fine sandy loam, 30 to 50 percent slopes, extremely bouldery",28,545817,85,Cullasaja,extremely bouldery,40.0,20066683,46.0,86.0,28.0,68.0,16.0,16.0,1.3,,24.0,58863591
85,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CsE,"Cullasaja very cobbly fine sandy loam, 30 to 50 percent slopes, extremely bouldery",28,545817,85,Cullasaja,extremely bouldery,40.0,20066683,86.0,203.0,28.0,82.5,8.5,9.0,1.3,,24.0,58863592
86,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,50,Cullasaja,stony,23.0,20066684,0.0,43.0,28.0,55.8,26.5,17.7,0.85,,37.0,58863593
87,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,50,Cullasaja,stony,23.0,20066684,43.0,81.0,28.0,70.9,12.5,16.6,1.3,,30.0,58863594
88,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,50,Cullasaja,stony,23.0,20066684,81.0,203.0,28.0,82.5,8.5,9.0,1.3,,23.0,58863595
89,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,2,Rubble land,,23.0,20066685,0.0,203.0,141.0,,,,2.03,,,58863596
90,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,30,Tuckasegee,stony,23.0,20066686,66.0,119.0,28.0,66.9,19.0,14.1,1.35,,34.0,58863597
91,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,30,Tuckasegee,stony,23.0,20066686,119.0,203.0,28.0,60.6,21.0,18.4,1.35,,31.0,58863598
92,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,30,Tuckasegee,stony,23.0,20066686,0.0,33.0,28.0,68.0,16.0,16.0,1.03,,44.0,58863599
93,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuD,"Cullasaja-Tuckasegee complex, 15 to 30 percent slopes, stony",29,545818,30,Tuckasegee,stony,23.0,20066686,33.0,66.0,28.0,66.9,19.0,14.1,1.2,,44.0,58863600
94,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,2,Rubble land,,40.0,20066687,0.0,203.0,141.0,,,,2.03,,,58863601
95,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,40,Tuckasegee,stony,40.0,20066688,0.0,33.0,28.0,68.0,16.0,16.0,1.03,,44.0,58863602
96,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,40,Tuckasegee,stony,40.0,20066688,33.0,66.0,28.0,66.9,19.0,14.1,1.2,,44.0,58863603
97,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,40,Tuckasegee,stony,40.0,20066688,66.0,119.0,28.0,66.9,19.0,14.1,1.35,,34.0,58863604
98,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,40,Tuckasegee,stony,40.0,20066688,119.0,203.0,28.0,60.6,21.0,18.4,1.35,,31.0,58863605
99,17,6/4/2020 1:23:33 PM,NC113,"Macon County, North Carolina",14802,CuE,"Cullasaja-Tuckasegee complex, 30 to 50 percent slopes, stony",30,545819,45,Cullasaja,stony,40.0,20066689,0.0,43.0,28.0,55.8,26.5,17.7,0.85,,37.0,58863606
